State,Date,Time,Cumulative case count,Cumulative deaths,Tests conducted (negative),Tests conducted (total),Hospitalisations (count),Intensive care (count),Ventilator usage (count),Recovered (cumulative),Update Source,Notes
NSW,19/04/2020,20:00,2963,30,165663,168626,249,22,15,,AAP/media release,
SA,19/04/2020,,435,4,,43000,,2,,354,media release,
TAS,19/04/2020,18:00,197,,,,,,,,media release,
VIC,20/04/2020,12:50,1329,15,,86000,28,11,,1196,Premier/press conference/media release,
ACT,20/04/2020,13:50,104,,6959,,,,,,media release,
NT,20/04/2020,16:00,28,,,3713,,,,12,https://coronavirus.nt.gov.au/current-status,
QLD,20/04/2020,16:40,1019,,,85870,20,7,,738,media release,
WA,20/04/2020,16:50,545,,28924,,,,,435,media release,
SA,20/04/2020,16:50,435,,,,,,,363,national summary,
NSW,20/04/2020,20:00,2969,30,168159,171158,249,21,17,1755,press conference/media release,
TAS,20/04/2020,,200,,,,,,,,media release,
VIC,21/04/2020,09:00,1336,,,88000,28,12,,1202,media release,
ACT,21/04/2020,12:55,104,3,7022,,1,,,92,media release,
QLD,21/04/2020,16:00,1024,,,87470,21,7,,738,media release,
WA,21/04/2020,,546,,29566,,26,5,,443,press conference/media release,
